"lab","strain","ESLIM_004_001_701 Simplified IPGTT Glucose response AUC","ESLIM_005_001_002 DEXA Fat mass","ESLIM_005_001_004 DEXA Bone Mineral Density (excluding skull)","ESLIM_005_001_005 DEXA Bone Mineral Content","ESLIM_005_001_006 DEXA Body length","ESLIM_005_001_701 DEXA BMC/Body weight","ESLIM_005_001_702 DEXA Lean/Body weight","ESLIM_005_001_703 DEXA Fat/Body weight","ESLIM_005_001_704 DEXA Bone area (BMC/BMD)","ESLIM_007_001_004 Open-field Whole arena permanence time","ESLIM_007_001_005 Open-field Whole arena average speed","ESLIM_007_001_006 Open-field Periphery distance travelled","ESLIM_007_001_007 Open-field Periphery resting time","ESLIM_007_001_008 Open-field Periphery permanence time","ESLIM_007_001_009 Open-field Periphery average speed","ESLIM_007_001_011 Open-field Centre resting time","ESLIM_007_001_013 Open-field Centre average speed","ESLIM_007_001_014 Open-field Latency to centre entry","ESLIM_007_001_015 Open-field Number of centre entries ","ESLIM_007_001_701 Open-field Distance travelled - total","ESLIM_007_001_702 Open-field Number of rears - total","ESLIM_007_001_703 Open-field Percentage centre time","ESLIM_008_001_008 Modified SHIRPA Locomotor activity","ESLIM_009_001_701 Grip-Strength Forelimb grip strength measurement mean","ESLIM_009_001_702 Grip-Strength Forelimb and hindlimb grip strength measurement mean","ESLIM_009_001_703 Grip-Strength Forelimb grip strength normalised against body weight","ESLIM_009_001_704 Grip-Strength Forelimb and hindlimb grip strength normalised against body weight","ESLIM_011_001_001 Acoustic Startle&PPI BN startle magnitude ","ESLIM_011_001_002 Acoustic Startle&PPI PP1 startle magnitude","ESLIM_011_001_003 Acoustic Startle&PPI PP2 startle magnitude","ESLIM_011_001_004 Acoustic Startle&PPI PP3 startle magnitude","ESLIM_011_001_005 Acoustic Startle&PPI PP4 startle magnitude","ESLIM_011_001_006 Acoustic Startle&PPI 110dB startle magnitude","ESLIM_011_001_007 Acoustic Startle&PPI PP1 + pulse startle magnitude","ESLIM_011_001_008 Acoustic Startle&PPI PP2 + pulse startle magnitude","ESLIM_011_001_009 Acoustic Startle&PPI PP3 + pulse startle magnitude","ESLIM_011_001_010 Acoustic Startle&PPI PP4 + pulse startle magnitude","ESLIM_011_001_701 Acoustic Startle&PPI Prepulse inhibition - PP1","ESLIM_011_001_702 Acoustic Startle&PPI Prepulse inhibition - PP2","ESLIM_011_001_704 Acoustic Startle&PPI Prepulse inhibition - PP4","ESLIM_021_001_001 Fasted Clinical Chemistry Glucose","ESLIM_021_001_002 Fasted Clinical Chemistry Total cholesterol   ","ESLIM_021_001_003 Fasted Clinical Chemistry Triglycerides","ESLIM_021_001_004 Fasted Clinical Chemistry Free fatty acids  ","ESLIM_021_001_005 Fasted Clinical Chemistry HDL-cholesterol    ","ESLIM_021_001_006 Fasted Clinical Chemistry LDL-cholesterol","ESLIM_021_001_007 Fasted Clinical Chemistry Glycerol","ESLIM_022_001_001 Body Weight Body Weight","ESLIM_022_001_703 Body Weight Dysmorphology Body Weight","ESLIM_022_001_704 Body Weight Non-Invasive Blood Pressure Body Weight","ESLIM_022_001_705 Body Weight Calorimetry Body Weight","ESLIM_022_001_706 Body Weight Simplified IPGTT Body Weight","ESLIM_022_001_707 Body Weight Dexa Body Weight","ESLIM_022_001_708 Body Weight Heart Weight/Tibia Length Body Weight","ESLIM_022_001_709 Body Weight Grip Strength Body Weight","ESLIM_022_001_710 Body Weight Rotarod Body Weight","ESLIM_022_001_711 Body Weight Acoustic Startle & PPI Body Weight","ESLIM_022_001_712 Body Weight Hot Plate Body Weight","ESLIM_022_001_713 Body Weight Opthalmoscope Body Weight"
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.287471455184,8.95613175958194,301.2,2.57828529127316,2.25339484880327,1.11185751541813,2.58173083442354,2.68444033546308,7.87400787401181,9.08512856117125,11.5325625946708,1.9435263576523,-1.04596855518269,129.3333333,258,1.63158865525777,2.32215518933543,3.27714473299218,3.27714473299218,4.02891675689965,3.98154906807676,3.81330703248899,26.0710567488163,22.0113607030551,10.4355162785557,3.93378449720966,4.06902675423781,28.7185523,83.97822569,91.39326173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23080439573347,3.23474917402449,3.24259235148552,3.25809653802148,3.31054301339402
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.27212588550934,8.79450669556576,303.4,1.67766939477213,2.23108909128898,1.49065437644413,2.41680623708407,1.44691898293633,8.54400374531753,9.06628522698094,12.9228479833201,2.75259857715074,-0.663294217410264,122.6666667,231.3333333,1.68710572504471,2.3214947471986,3.4626060097908,3.29583686600433,4.26549281841793,4.62595272517062,4.57677071146639,27.270863572685,14.2513157287319,7.28697468089467,3.60277675506052,3.99452422693989,72.69060105,92.8600242,92.69866882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12236492448736,3.13549421592915,3.16124671203156,3.16968558067743,3.23867845216438
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.21920348405499,8.84720172610896,278,2.10286535535386,2.17247640764703,0.494696241836107,2.46809953147162,3.27525615830431,8.94427190999916,9.04409686779479,11.2694276695846,2.38108815479016,-1.04596855518269,125.6666667,257.6666667,1.64728026570108,2.36531412674632,4.74493212836325,4.66343909411207,5.26682669945667,4.78665806203347,5.05497110791631,24.8354585220406,17.2133668990119,11.2427754580442,4.79661665055905,4.75874927391639,51.961738,79.50713359,81.09597925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18635263316264,3.14845336057165,3.18221184049661,3.24649099190117,3.23474917402449
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.21375387928743,8.846209127361,277.6,1.88821973541562,2.2060741926132,2.08442908319087,2.2523438765573,4.23193022517466,8.12403840463596,9.03185943056816,12.328828005938,2.57133915530553,-0.800119300112113,138,233.6666667,1.75756810452615,2.28421001770246,3.8264651170665,4.03777421073371,4.61115225766564,4.39937527300849,5.45446604903797,25.6748904574099,14.289856542317,8.55569985448298,4.22537282462851,4.28082412916472,69.02305825,88.89563107,89.03216019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16968558067743,3.19458313229916,3.20274644293832,3.25424296870549,3.29212628660779
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.2181159363676,8.77197493493945,353.8,2.12886493552792,2.1938856760707,2.006870848845,2.35707327827812,1.86408013080768,8,8.95045503243387,18.2756668824971,2.35770439253058,-0.994622575144062,124.6666667,265,1.66439679677047,2.41848311401504,4.07923092441205,4.24276456734037,4.28771595520264,4.52504414150881,4.50424426739813,21.9658826364888,15.2151240547029,8.53229160308062,4.3333614626926,4.3528552573736,52.02072539,84.9119171,83.89637306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16124671203156,3.13549421592915,3.16547504814109,3.24649099190117,3.24649099190117
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.24707238306379,8.80793557633128,318.4,1.90140018434844,2.22028985026722,2.91452221812845,2.3832429960115,2.71137799119488,7.81024967590665,9.00829762456999,12.9614813968157,2.55980795770339,-1.15267950993839,112.6666667,224,1.51763036323098,2.2048428082287,3.05400118167797,3.07731226054641,3.91999117507732,3.51749783735832,3.8155121050473,19.7382876663605,17.7172232587389,10.4594454919943,4.62497281328427,3.81330703248899,19.4301848,71.91991786,88.37268994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20680324363393,3.20680324363393,3.2188758248682,3.26193531432865,3.30321697330195
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.19165353228676,8.75270790338544,320.6,1.9911702426387,2.15176220325946,1.11185751541813,2.37769256548085,1.83258146374831,8.94427190999916,8.96714716285627,11.4891252930761,2.48073127837752,-1.09861228866811,119.6666667,197.3333333,1.59423374951155,2.09441799588189,3.11351530921037,3.37073817417745,4.32545628318549,4.18052225846315,5.04728861174429,30.4269617280464,25.2031744032374,18.7643278589988,5.65073325356639,4.8698394841308,31.38906891,61.96802765,85.92568589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1904763503465,3.20274644293832,3.22684399451738,3.26956893918372,3.30321697330195
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.30058309032337,8.95640250548856,241.6,1.96467745590701,2.25758772706331,0.89199803930511,2.51608226725645,-0.162518929497775,9.59166304662544,9.16377273615985,12.0415945787923,2.50416446611994,-0.944461608840851,129.6666667,211.6666667,1.72513443737349,2.21518009269038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13983261752775,3.15700042115011,NA,3.23474917402449,3.28840188751681
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.28238238567653,8.99640430141289,206.4,1.98959703407669,2.2512917986065,1.17557332980424,2.45100509811232,-0.430782916092454,9.74679434480896,9.1801182497866,15.4919333848297,2.48212500710467,-0.994622575144062,113.6666667,246.3333333,1.54279383836157,2.31620928181045,3.79098467705109,3.58351893845611,4.19720194766181,4.38202663467388,4.4200447018614,18.2975408183723,13.5757136092362,7.04982269280583,3.92789635458444,4.05352256770185,44.95221027,85.15531661,82.79569892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1904763503465,3.18221184049661,3.20680324363393,3.26956893918372,3.30688670219091
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.24601474150565,8.94788410327643,242,2.03112651569042,2.23857976301813,1.39624469197306,2.28543893415908,4.39259558602312,8.66025403784439,9.10633449393793,15.2970585407784,2.44524139310655,-1.450010175506,115,235.6666667,1.57524654766321,2.29273279651935,3.09557760852371,3.03495298670727,3.8877303128591,3.71357206670431,5.48562646485303,22.7244361866252,22.4610774452162,14.6731046476197,4.73003916803396,3.70130197411249,2.304415182,58.30751356,92.15724245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16968558067743,3.14845336057165,3.18221184049661,3.23080439573347,3.27336401015227
