"lab","strain","ESLIM_004_001_701 Simplified IPGTT Glucose response AUC","ESLIM_005_001_002 DEXA Fat mass","ESLIM_005_001_004 DEXA Bone Mineral Density (excluding skull)","ESLIM_005_001_005 DEXA Bone Mineral Content","ESLIM_005_001_006 DEXA Body length","ESLIM_005_001_701 DEXA BMC/Body weight","ESLIM_005_001_702 DEXA Lean/Body weight","ESLIM_005_001_703 DEXA Fat/Body weight","ESLIM_005_001_704 DEXA Bone area (BMC/BMD)","ESLIM_007_001_004 Open-field Whole arena permanence time","ESLIM_007_001_005 Open-field Whole arena average speed","ESLIM_007_001_006 Open-field Periphery distance travelled","ESLIM_007_001_007 Open-field Periphery resting time","ESLIM_007_001_008 Open-field Periphery permanence time","ESLIM_007_001_009 Open-field Periphery average speed","ESLIM_007_001_011 Open-field Centre resting time","ESLIM_007_001_013 Open-field Centre average speed","ESLIM_007_001_014 Open-field Latency to centre entry","ESLIM_007_001_015 Open-field Number of centre entries ","ESLIM_007_001_701 Open-field Distance travelled - total","ESLIM_007_001_702 Open-field Number of rears - total","ESLIM_007_001_703 Open-field Percentage centre time","ESLIM_008_001_008 Modified SHIRPA Locomotor activity","ESLIM_009_001_701 Grip-Strength Forelimb grip strength measurement mean","ESLIM_009_001_702 Grip-Strength Forelimb and hindlimb grip strength measurement mean","ESLIM_009_001_703 Grip-Strength Forelimb grip strength normalised against body weight","ESLIM_009_001_704 Grip-Strength Forelimb and hindlimb grip strength normalised against body weight","ESLIM_011_001_001 Acoustic Startle&PPI BN startle magnitude ","ESLIM_011_001_002 Acoustic Startle&PPI PP1 startle magnitude","ESLIM_011_001_003 Acoustic Startle&PPI PP2 startle magnitude","ESLIM_011_001_004 Acoustic Startle&PPI PP3 startle magnitude","ESLIM_011_001_005 Acoustic Startle&PPI PP4 startle magnitude","ESLIM_011_001_006 Acoustic Startle&PPI 110dB startle magnitude","ESLIM_011_001_007 Acoustic Startle&PPI PP1 + pulse startle magnitude","ESLIM_011_001_008 Acoustic Startle&PPI PP2 + pulse startle magnitude","ESLIM_011_001_009 Acoustic Startle&PPI PP3 + pulse startle magnitude","ESLIM_011_001_010 Acoustic Startle&PPI PP4 + pulse startle magnitude","ESLIM_011_001_701 Acoustic Startle&PPI Prepulse inhibition - PP1","ESLIM_011_001_702 Acoustic Startle&PPI Prepulse inhibition - PP2","ESLIM_011_001_704 Acoustic Startle&PPI Prepulse inhibition - PP4","ESLIM_021_001_001 Fasted Clinical Chemistry Glucose","ESLIM_021_001_002 Fasted Clinical Chemistry Total cholesterol   ","ESLIM_021_001_003 Fasted Clinical Chemistry Triglycerides","ESLIM_021_001_004 Fasted Clinical Chemistry Free fatty acids  ","ESLIM_021_001_005 Fasted Clinical Chemistry HDL-cholesterol    ","ESLIM_021_001_006 Fasted Clinical Chemistry LDL-cholesterol","ESLIM_021_001_007 Fasted Clinical Chemistry Glycerol","ESLIM_022_001_001 Body Weight Body Weight","ESLIM_022_001_703 Body Weight Dysmorphology Body Weight","ESLIM_022_001_704 Body Weight Non-Invasive Blood Pressure Body Weight","ESLIM_022_001_705 Body Weight Calorimetry Body Weight","ESLIM_022_001_706 Body Weight Simplified IPGTT Body Weight","ESLIM_022_001_707 Body Weight Dexa Body Weight","ESLIM_022_001_708 Body Weight Heart Weight/Tibia Length Body Weight","ESLIM_022_001_709 Body Weight Grip Strength Body Weight","ESLIM_022_001_710 Body Weight Rotarod Body Weight","ESLIM_022_001_711 Body Weight Acoustic Startle & PPI Body Weight","ESLIM_022_001_712 Body Weight Hot Plate Body Weight","ESLIM_022_001_713 Body Weight Opthalmoscope Body Weight"
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.26695791535089,8.98190785872836,228,2.12362237496156,2.24283508858827,0.89199803930511,2.41769790009455,3.25231060095444,8.94427190999916,9.14430740137174,11.7473401244707,2.36242509366403,-0.994622575144062,105.3333333,203,1.68160035870765,2.33767641308118,4.13516655674236,4.05871738457895,4.21064501791826,4.58190155904874,4.74232002413533,14.4187378088375,14.3178210632764,8.47348806572594,4.31214050720972,4.32015123095579,1.394901395,65.46416546,63.82876383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97552956623647,2.99071973173045,3.03974915897077,3.09104245335832,3.10458667846607
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.22678337957776,8.93882032092161,182,1.86080727671458,2.18492704952581,0.494696241836107,2.42745407503992,1.57897870494939,10.0995049383621,9.15130136740404,11.7898261225516,2.59525470695687,-1.09861228866811,129.6666667,221,1.8543461688319,2.38754181570983,2.88480071284671,2.90690105984738,3.6454498961866,3.96651119071222,5.20235697540213,28.4692816909735,28.649607327152,18.8785592670627,5.71505206691443,4.8698394841308,-1.270820481,56.02714374,83.92350401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01062088604774,3.04927304048202,3.09104245335832,3.12236492448736,3.14845336057165
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.40333499609419,9.11107237031751,219.6,2.17705151106562,2.35517754311322,1.34547236659964,2.69934576047206,0.896088024556635,10.5830052442584,9.28759766552153,10.770329614269,2.31418422916689,-1.99243016469021,115.3333333,189,1.77229692006875,2.26621744883799,2.98568193770049,3.07269331469012,4.16666522380173,5.18570842216538,5.15790521283129,23.1019479698141,17.8745629317195,10.959014554238,5.05113723740559,4.72915616576908,40.13490725,77.496721,78.78958216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97552956623647,2.99573227355399,2.98061863574394,3.02042488614436,3.07269331469012
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.3174737054878,9.02935791818346,144.4,1.47935987107039,2.30358459332713,2.84723226523555,2.37397508908072,3.0842009215416,10.4880884817015,9.26330277263055,14.2126704035519,2.91777073208428,-1.15267950993839,99.66666667,190,1.70591934641601,2.35111213397818,2.82137888640921,3.11794990627824,4.40182926197006,3.44680789291421,3.62700405039585,12.3369364106329,10.8535708409721,6.84835746730557,3.5055573969864,3.56388296393925,22.60183968,69.18528252,76.80683311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89591193827178,2.92852352386054,2.98568193770049,3.03495298670727,3.04452243772342
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.26384426467762,8.95460906075623,227.8,1.98019702069828,2.2364452904895,1.97962120639763,2.41323161308111,2.08567209143047,8.83176086632785,9.13572457859539,11.6189500386223,2.49044683043986,-1.20831120592453,102.6666667,204.6666667,1.73557555611388,2.42547070080334,2.87919845729804,2.92316158071916,3.99452422693989,3.58905911883173,3.94739014926544,20.3568170399992,13.5018517248561,6.6932802122726,3.76120011569356,3.54385368206368,56.00868726,89.18918919,91.65057915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89591193827178,2.94968833505258,2.96527306606928,3.02042488614436,3.00071981506503
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.278292400425,8.97608531590725,242.4,2.10802302728628,2.25654115449264,1.86252854011626,2.41143949790613,1.89461685466776,8.94427190999916,9.1356814788626,14.456832294801,2.3764549418701,-1.73460105538811,104,205.3333333,1.65870896153127,2.33895273712921,4.62202730305451,4.66438204561994,4.84811636459848,4.73882657080077,5.21330399222108,20.8230641357126,18.4336648553672,10.8027774206451,4.77996347636125,4.85046654194343,21.63284133,73.08579336,70.52583026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98568193770049,3.04452243772342,3.03974915897077,3.06805293513362,3.11794990627824
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.35422832614588,8.99860648221354,236,1.89846008272212,2.30358459332713,2.08442908319087,2.59525470695687,0.22314355131421,9.74679434480896,9.21723653866402,15.3297097167559,2.56238196221336,-1.04596855518269,96.66666667,198.6666667,1.56064774828467,2.28100749237232,3.71113006304876,3.65065824129374,4.16511363311031,4.28908863901461,4.39937527300849,28.5324376806469,24.6272207120495,11.7303026388921,5.19295685089021,4.38202663467388,25.50055276,83.09789952,90.1731974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01062088604774,3.03974915897077,3.04927304048202,3.05870707271538,3.15273602236366
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.28442112236637,8.95566745313135,236,1.90434669749986,2.25967759198277,1.72988406550997,2.41143949790613,3.52783003259552,9.1104335791443,9.15005944109125,11.6189500386223,2.55722731136763,-0.944461608840851,98.66666667,233.3333333,1.62647409960221,2.48719498039458,3.2188758248682,3.53222564406856,4.39691524716763,3.84801767545223,5.07016127341028,18.4851291583262,15.4531550176655,7.02851335632223,3.79548918917219,4.34639945703073,30.11413521,85.54287387,77.40708224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96527306606928,3.01062088604774,3.03974915897077,3.05870707271538,3.08648663682246
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.2690283094652,8.97146116202591,282.4,2.79851775643075,2.22678337957776,0.0392207131532813,2.68784749378469,2.47232786758114,7.87400787401181,9.08930204359913,16.0312195418814,1.73460105544693,-1.20831120592453,87.66666667,222,1.43379258442634,2.36292822296007,2.90690105984738,3.13549421592915,4.1026433650368,4.05352256770185,4.52178857704904,18.0333025261598,11.8067777145164,6.70074622710038,3.66612246699132,3.58351893845611,57.13407134,86.19311193,88.9298893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03974915897077,3.04927304048202,3.04452243772342,3.09104245335832,3.16968558067743
"ICS","baseline",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2.31352503303238,9.08273424737104,210,2.43064889062869,2.287471455184,0.494696241836107,2.53290284805626,4.28840253264121,8.88819441731559,9.20967014742588,12.2474487139159,2.08152270792524,-1.04596855518269,100.6666667,219,1.54842380662862,2.32568080780696,4.00551334851548,4.15418456257812,4.44734610079452,4.43675153436313,4.56642935767166,18.088670487352,16.8285471743701,9.71081870904817,4.40671924726425,4.37071287477361,13.44743276,71.1797066,75.82518337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06339092202781,3.09557760852371,3.15700042115011,3.2188758248682,3.19867311755068
